Week,Start,End,Cutoff
1,9/2/2014,9/8/2014,9/4/2014
2,9/9/2014,9/15/2014,9/11/2014
3,9/16/2014,9/22/2014,9/18/2014
4,9/23/2014,9/29/2014,9/25/2014
5,9/30/2014,10/6/2014,10/2/2014
6,10/7/2014,10/13/2014,10/9/2014
7,10/14/2014,10/20/2014,10/16/2014
8,10/21/2014,10/27/2014,10/23/2014
9,10/28/2014,11/3/2014,10/30/2014
10,11/4/2014,11/10/2014,11/6/2014
11,11/11/2014,11/17/2014,11/13/2014
12,11/18/2014,11/24/2014,11/20/2014
13,11/25/2014,12/1/2014,11/27/2014
14,12/2/2014,12/8/2014,12/4/2014
15,12/9/2014,12/15/2014,12/11/2014
16,12/16/2014,12/22/2014,12/18/2014
17,12/23/2014,12/29/2014,12/25/2014
